alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1713727805.5593,elite,5716.876931624,1713663409.5695,"AS54825 Packet Host, Inc.",PACKET,Chicago,"North America",NA,"United States",US,,true,"Packet Host, Inc.",41.8874,-87.6318,false,"Equinix Services, Inc",true,Illinois,success,America/Chicago,60602,1713664737,1713727805.5593,9443,http,http://145.40.101.105:9443,false,334.92469787598,55,32,63.218390804598,145.40.101.105
true,1713713152.5242,elite,3928.025732138,1710292409.0657,"AS44486 Oliver Horscht is trading as ""SYNLINQ""",SYNLINQ,Markdorf,Europe,EU,Germany,DE,,false,"Gericke KG",47.7272,9.39433,false,,true,Baden-Wurttemberg,success,Europe/Berlin,88677,1713562813,1713727803.6658,24803,socks5,socks5://45.81.232.17:24803,true,56.567430496216,11532,33536,25.588000355019,45.81.232.17
true,1713505028.5243,elite,2979.898569491,1712325549.1355,"AS44486 Oliver Horscht is trading as ""SYNLINQ""",SYNLINQ,Markdorf,Europe,EU,Germany,DE,,false,"Gericke KG",47.7272,9.39433,false,,true,Baden-Wurttemberg,success,Europe/Berlin,88677,1713537260,1713727803.3451,48224,socks5,socks5://45.81.232.17:48224,true,40.839672088623,2310,5265,30.49504950495,45.81.232.17
true,1713727803.0355,elite,7100.6133506258,1710540132.4531,"AS26496 GoDaddy.com, LLC",AS-26496-GO-DADDY-COM-LLC,Tempe,"North America",NA,"United States",US,"South Tempe",true,"GoDaddy.com, LLC",33.3359,-111.894,false,"GoDaddy.com, LLC",true,Arizona,success,America/Phoenix,85284,1713567759,1713727803.0355,23667,socks5,socks5://104.238.111.107:23667,true,8014.6954059601,4092,39424,9.4034378159757,104.238.111.107
true,1713649316.3919,elite,953.20073254295,1696966771.793,"AS46562 Performive LLC",PERFORMIVE,"Beverly Hills","North America",NA,"United States",US,,true,"Performive LLC",34.0625,-118.384,false,"ZeroLag Communications",true,California,success,America/Los_Angeles,90211,1713559413,1713727801.5934,4145,socks4,socks4://199.102.105.242:4145,true,774.86205101013,73979,4542,94.215560168617,199.102.105.242
true,1712687177.7187,elite,2212.1466943876,1696985504.719,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Roanoke,"North America",NA,"United States",US,,false,"Cox Communications Inc.",37.2613,-79.9335,false,"Cox Communications Inc.",true,Virginia,success,America/New_York,24023,1713563177,1713727800.4094,4145,socks4,socks4://184.178.172.14:4145,true,2815.8354759216,64397,13275,82.908898959728,184.178.172.14
true,1713727800.2902,elite,6769.5840144749,1698409576.1281,"AS12876 SCALEWAY S.A.S.",AS12876,Paris,Europe,EU,France,FR,,true,SCALEWAY,48.8323,2.4075,false,ONLINE,true,Île-de-France,success,Europe/Paris,75001,1713561129,1713727800.2902,16379,socks5,socks5://51.158.105.203:16379,true,3867.8829669952,22515,58271,27.869927957814,51.158.105.203
true,1713338329.3287,elite,288.23776266802,1710542614.7248,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"Firstbyte Hosting",true,Moscow,success,Europe/Moscow,125310,1713726893,1713727798.9111,4444,http,http://45.95.203.201:4444,false,323.95648956299,41784,3681,91.903662157704,45.95.203.201
true,1713712132.6202,elite,812.47503445262,1712798953.6035,"AS44486 Oliver Horscht is trading as ""SYNLINQ""",SYNLINQ,Markdorf,Europe,EU,Germany,DE,,false,"Gericke KG",47.7272,9.39433,false,,true,Baden-Wurttemberg,success,Europe/Berlin,88677,1713404379,1713727797.4406,63186,socks5,socks5://45.81.232.17:63186,true,30.132532119751,840,351,70.528967254408,45.81.232.17
true,1713727795.2371,elite,5272.3047795759,1711234534.589,"AS138915 Kaopu Cloud HK Limited",KAOPU-HK,"San Jose","North America",NA,"United States",US,,false,"Kaopu Cloud HK Limited",37.3382,-121.886,false,LightNode-US,true,California,success,America/Los_Angeles,95141,1713662090,1713727795.2371,144,socks5,socks5://38.54.101.254:144,true,4303.9150238037,649,25215,2.5092793071451,38.54.101.254
